iShares Russell 1000 ETF
Fund Holdings as of,"Apr 02, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"119,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","66,214,047.58","0.15","66,214,047.58","406,271.00","162.98","United States","NYSE","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","66,012,512.40","0.15","66,012,512.40","1,050,820.00","62.82","United States","NYSE","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","65,763,651.33","0.15","65,763,651.33","170,209.00","386.37","United States","NASDAQ","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","65,640,312.63","0.15","65,640,312.63","893,187.00","73.49","United States","NYSE","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","64,591,293.07","0.15","64,591,293.07","603,037.00","107.11","United States","NASDAQ","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","63,040,417.65","0.15","63,040,417.65","180,585.00","349.09","United States","NYSE","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","62,536,276.44","0.15","62,536,276.44","1,018,838.00","61.38","United States","NYSE","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","62,492,904.00","0.15","62,492,904.00","867,957.00","72.00","United States","NYSE","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","62,228,804.02","0.14","62,228,804.02","264,331.00","235.42","United States","NYSE","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","60,727,003.80","0.14","60,727,003.80","222,590.00","272.82","United States","NASDAQ","USD","1.00","USD","-"
"MRSH","MARSH INC","Financials","Equity","60,419,774.47","0.14","60,419,774.47","346,027.00","174.61","United States","NYSE","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","59,909,528.07","0.14","59,909,528.07","490,539.00","122.13","United States","NYSE","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","59,648,910.65","0.14","59,648,910.65","527,633.00","113.05","United States","NYSE","USD","1.00","USD","-"
