date,equity
2022-07-28,114377.85148094181
2022-07-29,114377.85148094181
2022-08-01,114377.85148094181
2022-08-02,114377.85148094181
2022-08-03,114377.85148094181
2022-08-04,114377.85148094181
2022-08-05,114377.85148094181
2022-08-08,114377.85148094181
2022-08-09,114377.85148094181
2022-08-10,114377.85148094181
2022-08-11,114377.85148094181
2022-08-12,114377.85148094181
2022-08-15,114377.85148094181
2022-08-16,114377.85148094181
2022-08-17,114377.85148094181
2022-08-18,114431.75379383279
2022-08-19,114412.69609906472
2022-08-22,114341.86209282429
2022-08-23,114358.30317046175
2022-08-24,114377.64433208565
2022-08-25,114373.19608296356
2022-08-26,114263.30906604852
2022-08-29,114458.51960656488
2022-08-30,114428.57024299054
2022-08-31,114428.57024299054
2022-09-01,114428.57024299054
2022-09-02,114428.57024299054
2022-09-06,114428.57024299054
2022-09-07,114428.57024299054
2022-09-08,114428.57024299054
2022-09-09,114428.57024299054
2022-09-12,114428.57024299054
2022-09-13,114428.57024299054
2022-09-14,114428.57024299054
2022-09-15,114428.57024299054
2022-09-16,114428.57024299054
2022-09-19,114428.57024299054
2022-09-20,114428.57024299054
2022-09-21,114428.57024299054
2022-09-22,114428.57024299054
2022-09-23,114586.6357228233
2022-09-26,113743.10377533657
2022-09-27,114948.1758922767
2022-09-28,115816.78375393197
2022-09-29,116233.98155026814
2022-09-30,116020.68364383631
2022-10-03,116530.88037402359
2022-10-04,117001.60979582388
2022-10-05,116901.93848828966
2022-10-06,116899.65985087173
2022-10-07,116397.22575150529
2022-10-10,116609.88040622584
2022-10-11,116872.239883857
2022-10-12,117245.28226611378
2022-10-13,118191.04762540851
2022-10-14,117663.10150901845
2022-10-17,117821.9519739904
2022-10-18,118036.61270184445
2022-10-19,118194.42742253556
2022-10-20,117670.3299138418
2022-10-21,118317.24488910449
2022-10-24,118948.96167986677
2022-10-25,118760.55434389005
2022-10-26,119070.98325872513
2022-10-27,119445.42117011824
2022-10-28,120132.31587462268
2022-10-31,120165.84128160887
2022-11-01,119994.74722897983
2022-11-02,119633.98114209426
2022-11-03,119506.8353546884
2022-11-04,119430.60457561606
2022-11-07,119698.38263122189
2022-11-08,119669.58894021358
2022-11-09,119669.58894021358
2022-11-10,119669.58894021358
2022-11-11,119669.58894021358
2022-11-14,119669.58894021358
2022-11-15,119669.58894021358
2022-11-16,119669.58894021358
2022-11-17,119669.58894021358
2022-11-18,119669.58894021358
2022-11-21,119669.58894021358
2022-11-22,119669.58894021358
2022-11-23,119669.58894021358
2022-11-25,119669.58894021358
2022-11-28,119669.58894021358
2022-11-29,119669.58894021358
2022-11-30,119669.58894021358
2022-12-01,119669.58894021358
2022-12-02,119669.58894021358
2022-12-05,119669.58894021358
